State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Jackson,Sacramento,1819,1846,2
Alaska,Juneau,Jefferson City,Denver,1959,1906,3
Arizona,Phoenix,Helena,Hartford,1912,1889,1
Arkansas,Little Rock,Lincoln,Dover,1836,1821,1
California,Sacramento,Carson City,Tallahassee,1850,1854,6
Colorado,Denver,Concord,Atlanta,1876,1867,1
Connecticut,Hartford,Trenton,Honolulu,1788,1875,3
Delaware,Dover,Santa Fe,Boise,1787,1777,2
Florida,Tallahassee,Albany,Springfield,1845,1824,7
Georgia,Atlanta,Raleigh,Indianapolis,1788,1868,1
Hawaii,Honolulu,Bismarck,Des Moines,1959,1845,1
Idaho,Boise,Columbus,Topeka,1890,1865,1
Illinois,Springfield,Oklahoma City,Frankfort,1818,1837,6
Indiana,Indianapolis,Salem,Baton Rouge,1816,1825,1
Iowa,Des Moines,Harrisburg,Augusta,1846,1857,1
Kansas,Topeka,Providence,Annapolis,1861,1856,4
Kentucky,Frankfort,Columbia,Boston,1792,1792,14
Louisiana,Baton Rouge,Pierre,Lansing,1812,1880,2
Maine,Augusta,Nashville,Saint Paul,1820,1832,8
Maryland,Annapolis,Austin,Jackson,1788,1694,7
Massachusetts,Boston,Salt Lake City,Salem,1788,1630,1
Michigan,Lansing,Montpelier,Harrisburg,1837,1847,5
Minnesota,Saint Paul,Richmond,Providence,1858,1849,2
Mississippi,Jackson,Olympia,Columbia,1817,1821,1
Missouri,Jefferson City,Charleston,Pierre,1821,1826,15
Montana,Helena,Madison,Nashville,1889,1875,6
Nebraska,Lincoln,Cheyenne,Austin,1867,1867,2
Nevada,Carson City,Montgomery,Salt Lake City,1864,1861,6
New Hampshire,Concord,Juneau,Montpelier,1788,1808,3
New Jersey,Trenton,Phoenix,Richmond,1787,1784,10
New Mexico,Santa Fe,Little Rock,Olympia,1912,1610,4
New York,Albany,Sacramento,Charleston,1788,1797,6
North Carolina,Raleigh,Denver,Madison,1789,1792,2
North Dakota,Bismarck,Hartford,Cheyenne,1889,1883,2
Ohio,Columbus,Dover,Montgomery,1803,1816,1
Oklahoma,Oklahoma City,Tallahassee,Juneau,1907,1910,1
Oregon,Salem,Atlanta,Phoenix,1859,1855,3
Pennsylvania,Harrisburg,Honolulu,Little Rock,1787,1812,9
Rhode Island,Providence,Boise,Sacramento,1790,1900,1
South Carolina,Columbia,Springfield,Denver,1788,1786,2
South Dakota,Pierre,Indianapolis,Salem,1889,1889,8
Tennessee,Nashville,Des Moines,Harrisburg,1796,1826,1
Texas,Austin,Topeka,Providence,1845,1839,4
Utah,Salt Lake City,Frankfort,Columbia,1896,1858,1
Vermont,Montpelier,Baton Rouge,Pierre,1791,1805,6
Virginia,Richmond,Augusta,Nashville,1788,1780,4
Washington,Olympia,Annapolis,Austin,1889,1853,24
West Virginia,Charleston,Albany,Salt Lake City,1863,1885,1
Wisconsin,Madison,Raleigh,Montpelier,1848,1838,2
Wyoming,Cheyenne,Bismarck,Richmond,1890,1869,1
